algorithm,n,time_ns,comparisons,swaps,array_accesses
selection,100,1338300,4950,98
selection,100,334900,4950,93
selection,100,350800,4950,92
selection,200,1326900,19900,196
selection,200,1340100,19900,197
selection,200,1036600,19900,195
selection,400,834500,79800,395
selection,400,2077800,79800,397
selection,400,857900,79800,399
selection,800,1389300,319600,791
selection,800,977100,319600,794
selection,800,987100,319600,793
selection,1600,3195100,1279200,1591
selection,1600,1542200,1279200,1593
selection,1600,1024500,1279200,1594
selection,3200,6016400,5118400,3194
selection,3200,4162500,5118400,3193
selection,3200,3839500,5118400,3192
selection,6400,18847000,20476800,6392
selection,6400,23587600,20476800,6393
selection,6400,23809000,20476800,6388
